v1,v2
ham,Great! So what attracts you to the brothas?
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
ham,Please dont say like that. Hi hi hi
spam,FREE entry into our å£250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
ham,But i haf enuff space got like 4 mb...
ham,soon you will have the real thing princess! Do i make you wet? :)
ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*
ham,Wot u up 2 u weirdo?
ham,Dont put your phone on silent mode ok
spam,2/2 146tf150p
ham,Where wuld I be without my baby? The thought alone mite break me and I donåÕt wanna go crazy but everyboy needs his lady xxxxxxxx
ham,Then she dun believe wat?
ham,Kay... Since we are out already 
ham,here is my new address -apples&pairs&all that malarky
ham,Yeah get the unlimited
ham,God bless.get good sleep my dear...i will pray!
ham,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
ham,Fffff. Can you text kadeem or are you too far gone
ham,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
ham,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
ham,I knew it... U slept v late yest? Wake up so late...
ham,She.s find. I sent you an offline message to know how anjola's now.
ham,Û_ and donÛ÷t worry weÛ÷ll have finished by march Û_ ish!
ham,"\HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\"""""
ham,Guess who spent all last night phasing in and out of the fourth dimension
ham,Have you heard from this week?
spam,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020"
ham,Is xy in ur car when u picking me up?
ham,I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now? 
ham,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
ham,Also maaaan are you missing out
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,I've reached home finally...
ham,"Nothing, i got msg frm tht unknown no.."
ham,"Hm good morning, headache anyone? :-)"
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only
ham,Ooooooh I forgot to tell u I can get on yoville on my phone
ham,Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you
ham,I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.
ham,Hope you are having a good week. Just checking in
ham,Oh great. I.ll disturb him more so that we can talk.
ham,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE
ham,"Sir, I need AXIS BANK account no and bank address."
ham,Networking technical support associate.
ham,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?"
ham,Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.
ham,Yo im right by yo work
ham,I wish u were here. I feel so alone
spam,You have 1 new message. Call 0207-083-6089
ham,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?
ham,"Sorry, I can't help you on this."
spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+
ham,Yun ah.now Ì_ wkg where?btw if Ì_ go nus sc. ÌÏ wana specialise in wad?
ham,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(
ham,Loosu go to hospital. De dont let it careless.
ham,TaKe CaRE n gET WeLL sOOn
ham,1 in cbe. 2 in chennai.
spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP."
ham,Don know:)this week i'm going to tirunelvai da.
spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
ham,I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.
ham,"I hav almost reached. Call, i m unable to connect u."
ham,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.
ham,Huh i cant thk of more oredi how many pages do we have?
ham,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards..."
ham,Is that on the telly? No its Brdget Jones!
ham,Mm feeling sleepy. today itself i shall get that dear
ham,Dont talk to him ever ok its my word.
ham,Nvm take ur time.
ham,U reach orchard already? U wan 2 go buy tickets first?
spam,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
ham,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... 
ham,Wanna do some art?! :D
spam,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd
ham,"\ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX\"""""
ham,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing."
ham,Ranjith cal drpd Deeraj and deepak 5min hold
ham,"Just sent you an email ÛÒ to an address with incomm in it, is that right?"
ham,2marrow only. Wed at  &lt;#&gt;  to 2 aha.
ham,Hey so whats the plan this sat? 
ham,"Only just got this message, not ignoring you. Yes, i was. Shopping that is"
ham,No pic. Please re-send.
ham,Smith waste da.i wanna gayle.
ham,Hey... What time is your driving on fri? We go for evaluation on fri?
ham,Cool. Do you like swimming? I have a pool and jacuzzi at my house.
ham,Check wid corect speling i.e. Sarcasm
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester."
ham,"Awesome, be there in a minute"
ham,How much r Ì_ willing to pay?
ham,Tell me whos this pls:-)
ham,Hi happy birthday. Hi hi hi hi hi hi hi
ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
ham,What does the dance river do?
ham,What is important is that you prevent dehydration by giving her enough fluids
spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!
ham,Moji i love you more than words. Have a rich day
ham,Now get step 2 outta the way. Congrats again.
spam,FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop
ham,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.
ham,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)"
ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
ham,"Yep, at derek's house now, see you Sunday &lt;3"
ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
ham,A guy who gets used but is too dumb to realize it.
ham,Sitting in mu waiting for everyone to get out of my suite so I can take a shower
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
ham,Water logging in desert. Geoenvironmental implications.
ham,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...
ham,"Sorry, I'll call later In meeting."
ham,"Well, I meant as opposed to my drunken night of before"
ham,Just seeing your missed call my dear brother. Do have a gr8 day.
ham,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
ham,If You mean the website. Yes.
ham,Watching tv lor...
ham,Hi dude hw r u da realy mising u today
ham,Come to my home for one last time i wont do anything. Trust me.
ham,And pls pls drink plenty plenty water
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
ham,Cause I'm not freaky lol
ham,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ..."
ham,What you doing?how are you?
ham,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:)
ham,S...i will take mokka players only:)
ham,Shall I bring us a bottle of wine to keep us amused? Only joking! IÛ÷ll bring one anyway
ham,Yes:)from last week itself i'm taking live call.
ham,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs."
ham,10 min later k...
ham,"Sorry, I'll call later"
ham,Me n him so funny...
ham,Tmr timin still da same wat cos i got lesson until 6...
ham,Okie Ì_ wan meet at bishan? Cos me at bishan now. I'm not driving today.
ham,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice
ham,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester"
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...
ham,I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.
ham,Ic. There are a lotta childporn cars then.
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O å£250 3 WANT å£800
ham,Still in customer place
ham,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .
ham,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2"
ham,Howz that persons story
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
ham,"Aight, see you in a bit"
ham,Great comedy..cant stop laughing da:)
ham,But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.
ham,This is my number by vivek..
ham,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\"""""
ham,Why you Dint come with us.
ham,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..
ham,Then anything special?
ham,How much i gave to you. Morning.
ham,As in i want custom officer discount oh.
spam,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke 
ham,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ
ham,Are you willing to go for apps class.
ham,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
ham,Hey gals...U all wanna meet 4 dinner at nÌÂte? 
ham,K do I need a login or anything
spam,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.
ham,"Sorry, I'll call later"
ham,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX
ham,Yar lor actually we quite fast... Cos da ge slow wat... Haha...
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
ham,Watching ajith film ah?
ham,On ma way to school. Can you pls send me ashley's number
ham,I ask if u meeting da ge tmr nite...
ham,Bring it if you got it
ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
ham,U call me alter at 11 ok.
ham,"Yup, leaving right now, be back soon"
spam,<Forwarded from 88877>FREE entry into our å£250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com
ham,Ya it came a while ago
ham,Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-)
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""
ham,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call."
spam,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
ham,ARR birthday today:) i wish him to get more oscar.
ham,Going for dinner.msg you after.
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
ham,What * u wearing?
ham,"When you get free, call me"
ham,Is there any movie theatre i can go to and watch unlimited movies and just pay once?
ham,Remember to ask alex about his pizza
ham,"Right on brah, see you later"
ham, gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. 
ham,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\"""""
ham,Stupid.its not possible
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
ham,Dude im no longer a pisces. Im an aquarius now.
ham,Yeah whatever lol
ham,Ok i am on the way to home hi hi
ham,After the drug she will be able to eat.
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
ham,I keep ten rs in my shelf:) buy two egg.
ham,"Could you not read me, my Love ? I answered you"
ham,I always chat with you. In fact i need money can you raise me?
ham,Congrats kano..whr s the treat maga?
ham,I dunno until when... Lets go learn pilates...
ham,"Ok omw now, you at castor?"
ham,says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.
ham,No need for the drug anymore.
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..
ham,We can make a baby in yo tho
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04
ham,"Aight, let me know when you're gonna be around usf"
ham,Argh why the fuck is nobody in town ;_;
ham,"Good stuff, will do."
ham,"I'll text carlos and let you know, hang on"
ham,Oh ok no prob..
ham,"How long has it been since you screamed, princess?"
spam,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270
ham,Dear umma she called me now :-)
ham,I dont understand your message.
spam,"Ur balance is now å£600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
ham,In e msg jus now. U said thanks for gift.
ham,have * good weekend.
spam,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
ham,I know a few people I can hit up and fuck to the yes
ham,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
ham,I could ask carlos if we could get more if anybody else can chip in
ham,Ok cool. See ya then.
spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
ham,"Garbage bags, eggs, jam, bread, hannaford wheat chex"
ham,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)
spam,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)"
spam,85233 FREE>Ringtone!Reply REAL
ham,We r outside already.
ham,I have many dependents
ham,Well thats nice. Too bad i cant eat it
ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/
ham,I am not having her number sir
ham,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!"
ham,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
ham,Ya even those cookies have jelly on them
spam,URGENT! Your Mobile number has been awarded with a å£2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
ham,Easy ah?sen got selected means its good..
ham,Pls send me your address sir.
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,Mine here like all fr china then so noisy.
ham,Lol they don't know about my awesome phone. I could click delete right now if I want.
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. "
ham,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
ham,Huh so fast... Dat means u havent finished painting?
ham,No messages on her phone. I'm holding it now
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
ham,K..k..any special today?
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
ham,Much better now thanks lol
spam,You have 1 new voicemail. Please call 08719181503
ham,"Yeah, probably earlier than that"
ham,I am taking half day leave bec i am not well
ham,Your bill at 3 is å£33.65 so thats not bad!
ham,You do your studies alone without anyones help. If you cant no need to study.
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
ham,How are you. Wish you a great semester
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
ham,Unless it's a situation where YOU GO GURL would be more appropriate
ham,"Playin space poker, u?"
ham,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx
ham,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?"
ham,The battery is for mr adewale my uncle. Aka Egbon
ham,I've reached sch already...
ham,Omg it could snow here tonite!
ham,Mm yes dear look how i am hugging you both. :-P
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed å£1000 CASH or å£2000 gift. Speak to a live operator NOW!
ham,Theyre doing it to lots of places. Only hospitals and medical places are safe.
ham,Ok
ham,I cant pick the phone right now. Pls send a message
ham,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL
ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
spam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
ham,Ya:)going for restaurant..
ham,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.
ham,Morning only i can ok.
ham,I will treasure every moment we spend together...
ham,"\CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDåÕS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.\"""""
ham,How long does it take to get it.
ham,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
ham,"If e timing can, then i go w u lor..."
ham,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx
ham,I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :)
spam,Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP Arrow
ham,Please don't text me anymore. I have nothing else to say.
ham,Have a nice day my dear.
ham,Am I the only one who doesn't stalk profiles?
ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
ham,"No, its true..k,Do u knw dis no. &lt;#&gt; ?"
spam,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net costå£3.75max 
ham,That day you asked about anand number. Why:-)
ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
ham,Sos! Any amount i can get pls.
ham,"I sent you the prices and do you mean the  &lt;#&gt; g,"
ham,What time you coming down later? 
ham,"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\"""
ham,"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details"
ham,Oooh bed ridden ey? What are YOU thinking of?
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
ham,Aiya we discuss later lar... Pick Ì_ up at 4 is it?
ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
ham,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.
ham,Ok can...
ham,"that would be good Û_ I'll phone you tomo lunchtime, shall I, to organise something?"
ham,What happened to our yo date?
ham,That's cause your old. I live to be high.
ham,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it..."
spam,INTERFLORA - åÒIt's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
ham,"\NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT\"""""
ham,You intrepid duo you! Have a great time and see you both soon. 
ham,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card"
ham,"Ya, told..she was asking wats matter?"
ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
ham,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to"
spam,"You are a å£1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE"
ham,Is that what time you want me to come?
spam,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app 
ham,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
ham,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK."
ham,Hey are you angry with me. Reply me dr.
ham,Great escape. I fancy the bridge but needs her lager. See you tomo 
ham,Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.
ham,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
ham,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
ham,Yup... From what i remb... I think should be can book... 
ham,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.
ham,Come by our room at some point so we can iron out the plan for this weekend
spam,"You can stop further club tones by replying \STOP MIX\"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL"
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,"Aight, I'll hit you up when I get some cash"
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
spam,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
ham,R u over scratching it?
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
ham,Also hi wesley how've you been
ham,"Coffee cake, i guess..."
ham,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
